;DefaultCreativeData
DirtBlock;-1
LimestoneBlock;-1
BasaltBlock;-1
SandstoneBlock;-1
GravelBlock;-1
ClayBlock;-1
SandBlock;-1
GrassBlock;-1
SnowBlock;-1
IceBlock;-1
StoneChunkBlock;-1
CoalOreBlock;-1
CopperOreBlock;-1
IronOreBlock;-1
SulphurOreBlock;-1
DiamondOreBlock;-1
GermaniumOreBlock;-1
SaltpeterOreBlock;-1
CoalBlock;-1
CoalChunkBlock;-1
MalachiteChunkBlock;-1
IronOreChunkBlock;-1
SaltpeterChunkBlock;-1
SulphurChunkBlock;-1
GermaniumOreChunkBlock;-1
GermaniumChunkBlock;-1
DiamondChunkBlock;-1
OakWoodBlock;-1
BirchWoodBlock;-1
SpruceWoodBlock;-1
MimosaWoodBlock;-1
PoplarWoodBlock;-1
FallenLeavesBlock;-1
TallGrassBlock;-1
RedFlowerBlock;-1
PurpleFlowerBlock;-1
WhiteFlowerBlock;-1
DryBushBlock;-1
LargeDryBushBlock;-1
CactusBlock;-1
IvyBlock;-1
CottonWadBlock;-1
SeaUrchinBlock;-1
StarfishBlock;-1
KelpBlock;-1
SeagrassBlock;-1
IronBlock;-1
CopperBlock;-1
MalachiteBlock;-1
DiamondBlock;-1
SemiconductorBlock;-1
FramedGlassBlock;-1
WindowBlock;-1
GlassBlock;-1
BrickBlock;-1
SnowballBlock;-1
WoodenDoorBlock;-1
IronDoorBlock;-1
CellDoorBlock;-1
WoodenTrapdoorBlock;-1
CellTrapdoorBlock;-1
WoodenLadderBlock;-1
IronLadderBlock;-1
WickerLampBlock;-1
TorchBlock;-1
StickBlock;-1
IronIngotBlock;-1
CopperIngotBlock;-1
RodBlock;-1
CraftingTableBlock;-1
FurnaceBlock;-1
ChestBlock;-1
DispenserBlock;-1
SpikedPlankBlock;-1
GrassTrapBlock;-1
WoodenFenceBlock;-1
WoodenFenceGateBlock;-1
IronFenceBlock;-1
IronFenceGateBlock;-1
StoneFenceBlock;-1
BrickFenceBlock;-1
BasaltFenceBlock;-1
WoodenPostedSignBlock;-1
WoodenAttachedSignBlock;-1
IronPostedSignBlock;-1
IronAttachedSignBlock;-1
SmallGunpowderKegBlock;-1
MediumGunpowderKegBlock;-1
LargeGunpowderKegBlock;-1
SmallIncendiaryKegBlock;-1
MediumIncendiaryKegBlock;-1
LargeIncendiaryKegBlock;-1
FeatherBlock;-1
StringBlock;-1
CanvasBlock;-1
CarpetBlock;-1
GunpowderBlock;-1
JackOLanternBlock;-1
MagnetBlock;-1
FurBlock;-1
LeatherBlock;-1
SaddleBlock;-1
ChristmasTreeBlock;-1
FurnitureBlock;-1
TreasureGeneratorBlock;-1
ExperienceBlock;-1
CairnBlock;-1
PigmentBlock;-1
PaintStripperBucketBlock;-1
BoatBlock;-1
CampfireBlock;-1
StoneAxeBlock;-1
CopperAxeBlock;-1
IronAxeBlock;-1
DiamondAxeBlock;-1
CopperShovelBlock;-1
IronShovelBlock;-1
DiamondShovelBlock;-1
CopperPickaxeBlock;-1
IronPickaxeBlock;-1
DiamondPickaxeBlock;-1
WoodenRakeBlock;-1
CopperRakeBlock;-1
IronRakeBlock;-1
DiamondRakeBlock;-1
EmptyBucketBlock;-1
WaterBucketBlock;-1
MagmaBucketBlock;-1
PaintStripperBucketBlock;-1
MatchBlock;-1
CompassBlock;-1
ThermometerBlock;-1
HygrometerBlock;-1
IronHammerBlock;-1
WhistleBlock;-1
WoodenClubBlock;-1
StoneClubBlock;-1
WoodenSpearBlock;-1
StoneSpearBlock;-1
CopperSpearBlock;-1
IronSpearBlock;-1
DiamondSpearBlock;-1
CopperMacheteBlock;-1
IronMacheteBlock;-1
DiamondMacheteBlock;-1
BowBlock;-1
CrossbowBlock;-1
MusketBlock;-1
BombBlock;-1
IncendiaryBombBlock;-1
FlourBlock;-1
DoughBlock;-1
RottenDoughBlock;-1
BreadBlock;-1
RottenBreadBlock;-1
RawBirdBlock;-1
CookedBirdBlock;-1
RottenBirdBlock;-1
RawMeatBlock;-1
CookedMeatBlock;-1
RottenMeatBlock;-1
RawFishBlock;-1
CookedFishBlock;-1
RottenFishBlock;-1
MilkBucketBlock;-1
RottenMilkBucketBlock;-1
RottenEggBlock;-1
PumpkinSoupBucketBlock;-1
RottenPumpkinSoupBucketBlock;-1
NotGateBlock;-1
AndGateBlock;-1
OrGateBlock;-1
XorGateBlock;-1
NandGateBlock;-1
NorGateBlock;-1
DelayGateBlock;-1
AdjustableDelayGateBlock;-1
SRLatchBlock;-1
CounterBlock;-1
MemoryBankBlock;-1
TruthTableCircuitBlock;-1
RealTimeClockBlock;-1
RandomGeneratorBlock;-1
DigitalToAnalogConverterBlock;-1
AnalogToDigitalConverterBlock;-1
SoundGeneratorBlock;-1
BatteryBlock;-1
LightbulbBlock;-1
SwitchBlock;-1
ButtonBlock;-1
MotionDetectorBlock;-1
WireThroughPlanksBlock;-1
WireThroughStoneBlock;-1
WireThroughBricksBlock;-1
WireThroughSemiconductorBlock;-1
WireThroughCobblestoneBlock;-1
OneLedBlock;-1
PhotodiodeBlock;-1
TargetBlock;-1
DetonatorBlock;-1
